# Source Register: master list of every source consulted during this research mission.
#
# Column Definitions:
# - source_id: Unique identifier. Conventions for this mission:
#     * vikunja-api-<endpoint>           e.g., vikunja-api-tasks-all
#     * code-<repo-relative-path>        e.g., code-scripts-habits-schedule-loader
#     * adr-<num>                        e.g., adr-0002
#     * issue-<num>                      e.g., issue-507, issue-516
#     * mem-<memory-name>                e.g., mem-reference-vikunja-filter-gotchas
#     * doc-<path-or-name>               e.g., doc-runbook-doc-auditor-driver-ops
# - citation: Full citation. For code: file:line + function. For API: endpoint + version. For docs: URL or repo path. For memory: full name.
# - url: Direct link (if applicable). Empty if local-only.
# - accessed_date: YYYY-MM-DD
# - relevance: high | medium | low (relevance to the primary research question)
# - status: pending | reviewed | archived
#
# Usage:
#   - Add a row when a source is first referenced (don't wait until citation in findings).
#   - Update status as research progresses.
#   - source_id must be unique.
#
# Validation: All evidence-log rows must cite a source_id that exists in this register.
source_id,citation,url,accessed_date,relevance,status
vikunja-api-info,GET /info (Vikunja v0.24.6),https://office2.tail0f5f56.ts.net/api/v1/info,2026-06-03,high,reviewed
vikunja-api-tasks-all,GET /tasks/all?per_page=1 (Vikunja v0.24.6),https://office2.tail0f5f56.ts.net/api/v1/tasks/all,2026-06-03,high,reviewed
vikunja-api-tasks-id,GET /tasks/1 full task representation (Vikunja v0.24.6),https://office2.tail0f5f56.ts.net/api/v1/tasks/1,2026-06-03,high,reviewed
vikunja-api-projects,GET /projects project schema (Vikunja v0.24.6),https://office2.tail0f5f56.ts.net/api/v1/projects,2026-06-03,high,reviewed
vikunja-api-tasks-filter-done-false,"GET /tasks/all?filter=done+%3D+false (Vikunja v0.24.6)",https://office2.tail0f5f56.ts.net/api/v1/tasks/all,2026-06-03,high,reviewed
vikunja-api-tasks-filter-done-true,"GET /tasks/all?filter=done+%3D+true (Vikunja v0.24.6)",https://office2.tail0f5f56.ts.net/api/v1/tasks/all,2026-06-03,high,reviewed
vikunja-api-tasks-filter-due-now,GET /tasks/all?filter=due_date+%3C+now (Vikunja v0.24.6),https://office2.tail0f5f56.ts.net/api/v1/tasks/all,2026-06-03,high,reviewed
vikunja-api-tasks-filter-project-id,GET /tasks/all?filter=project_id+%3D+13 (Vikunja v0.24.6),https://office2.tail0f5f56.ts.net/api/v1/tasks/all,2026-06-03,high,reviewed
vikunja-api-tasks-filter-done-neq,"GET /tasks/all?filter=done+%21%3D+false (Vikunja v0.24.6 — G7 class test)",https://office2.tail0f5f56.ts.net/api/v1/tasks/all,2026-06-03,high,reviewed
vikunja-api-tasks-bulk,GET /tasks/bulk (404 probe — no batch-read endpoint),https://office2.tail0f5f56.ts.net/api/v1/tasks/bulk,2026-06-03,high,reviewed
vikunja-api-projects-webhooks,GET /projects/1/webhooks (Vikunja v0.24.6 — webhook config empty),https://office2.tail0f5f56.ts.net/api/v1/projects/1/webhooks,2026-06-03,high,reviewed
