component,domain,runtime_or_surface,evidence,ownership_boundary,source_of_truth,observability,failure_handling,security_posture,test_coverage,documentation,operation,notes
Felix governance,governance,"CLAUDE.md, charter, Constitution","CLAUDE.md; .kittify/charter/charter.md; docs/constitution/FELIX-CONSTITUTION.md",2,2,1,1,2,0,2,1,"Strong principles exist; several need enforcement hooks."
Architecture JSON store,architecture,"docs/design/architecture/data/*.json","jq parse OK; no schema CI; future Anthropic created_date",2,1,1,1,1,0,2,1,"Authoritative by policy but semantic validation is weak."
OpenClaw tasker agent,agent,"OpenClaw workspace on office2","repo and deployed AGENTS/SOUL/USER/TOOLS contain stale 02-Growth privacy path",1,1,1,1,0,1,1,1,"Critical stale privacy boundary."
OpenClaw capture agent,agent,"OpenClaw cron/delegation","950-line AGENTS.md",1,1,1,1,1,1,1,1,"Prompt remains large; may deserve future D-vs-S pass after higher risks."
Habits subsystem,automation,"Python helpers + OpenClaw cron + systemd sweeper","scripts/habits; tests/habits; live state probes",2,1,1,2,2,2,2,1,"Good helper extraction; one date-sensitive parser test currently fails."
Escalation subsystem,automation,"Python helpers + JSONL + hard-fail issue filing","scripts/escalation; tests/escalation",2,1,1,2,2,2,2,1,"Good hard-fail redaction; direct Vikunja HTTP copied locally."
Enrichment/tasker state,automation,"Python helpers + JSONL","scripts/enrichment; tasker runbook",1,1,1,2,1,2,1,1,"State migrated to JSONL; docs still have stale privacy path."
Felix-Vikunja sync,automation,"systemd user timer + Python driver","scripts/sync; tests/sync; office2 last-tick",2,2,2,2,2,2,2,2,"Strong reference pattern for state, guards, health, and HTTP wrapper."
Doc-auditor,automation,"suspended systemd user timer + Python driver","runbook says suspended; inventory says active; live service failed/stale tick",1,1,1,1,1,2,2,1,"Needs explicit suspended lifecycle state."
Signal-driven monitoring,observability,"systemd timers + signal extraction + heartbeat gate","scripts/openclaw/observation; heartbeat_gate; live last-tick files",2,2,2,2,2,2,2,2,"Strong positive pattern for #516 standardization."
Credential health check,security,"systemd user timer + manifest reader","scripts/security/credential_health_check; tests/security",2,2,2,2,2,2,2,2,"Good watchdog pattern; manifest data quality still needs schema checks."
Deploy scripts,deployment,"bash scripts under scripts/deploy and scripts/office2","deploy-149 strong; deploy-f026/deploy-028 preserve crontab paths",1,1,1,1,1,1,1,1,"Active vs historical deploy surfaces need classification."
CI,verification,"GitHub Actions","docs-ci validates docs only; no pytest workflow",1,1,0,0,1,0,1,1,"High leverage gap because tests already exist."
Test suite,verification,"pytest local suite","1 failed, 2857 passed, 2 skipped in 50.18s",2,1,1,1,2,2,1,1,"Excellent breadth; wall-clock dependency in one test."
Vault path registry,privacy,"scripts/vault/paths.json + resolver","_private omitted from registry; resolver has no private entry",2,2,1,1,2,1,2,1,"Positive defense-in-depth pattern; stale old-path docs undermine it."
