# Evidence Log: every load-bearing finding recorded with citation, confidence, and notes.
#
# Column Definitions:
# - timestamp: ISO-8601 UTC (YYYY-MM-DDTHH:MM:SSZ)
# - source_type: api_probe | code | doc | issue | memory
# - citation: source_id from source-register.csv (REQUIRED — must match an existing source_id row)
# - key_finding: One- or two-sentence finding. Specific. State the claim, source it, move on.
# - confidence: high | medium | low
#     * high   = directly observed in a probe transcript or single specific grep hit; reproducible.
#     * medium = synthesized across multiple sources or single authoritative doc claim.
#     * low    = memory claim not re-verified against current state; preserve with caveat.
# - notes: caveats, version constraints, alternative interpretations, deferred sub-questions.
#
# Usage:
#   - Append a row each time a load-bearing finding is established.
#   - The citation column references source-register.csv by source_id (one or more, comma-separated within the field if needed; quote the field).
#   - For api_probe findings: cite source_id of the endpoint AND inline the probe-transcript section reference if applicable.
#
# Validation: Every load-bearing claim in findings.md must trace to a row here (NFR-001).
timestamp,source_type,citation,key_finding,confidence,notes
2026-06-03T23:51:00Z,api_probe,vikunja-api-info,Vikunja server version is v0.24.6; webhooks_enabled=true; caldav_enabled=true; registration_enabled=true,high,observed (probe-transcripts.md Probe 1)
2026-06-03T23:51:00Z,api_probe,vikunja-api-tasks-all,"Task schema confirmed: id (int, immutable), identifier (string, project-scoped e.g. #1), done (bool), done_at (ISO scalar), due_date (ISO), updated (ISO), created_by.username, project_id, repeat_after/repeat_mode, labels (array)",high,observed (probe-transcripts.md Probe 2)
2026-06-03T23:51:00Z,api_probe,vikunja-api-tasks-all,"Pagination headers x-pagination-total-pages and x-pagination-result-count exposed via access-control-expose-headers; 21 undone tasks and 44 done tasks as of probe date",high,observed (probe-transcripts.md Probes 2/5/6)
2026-06-03T23:51:00Z,api_probe,vikunja-api-projects,"14 projects in this Vikunja instance: Inbox(1) Everyday(2) Someday(4) Personal Growth(5) Business Acquisition(6) CT-90day(7) Health(8) Intentional(9) Metal Casework(10) Goals(11) Research(12) Habits(13) Inbox/felix-bot(14). Each has 4 default views with filter fields.",high,observed (probe-transcripts.md Probe 4)
2026-06-03T23:51:00Z,api_probe,vikunja-api-tasks-filter-done-false,Server-side filter done=false is accepted and returns undone tasks (HTTP 200),high,observed (probe-transcripts.md Probe 5)
2026-06-03T23:51:00Z,api_probe,vikunja-api-tasks-filter-done-true,Server-side filter done=true is accepted and returns done tasks (HTTP 200),high,observed (probe-transcripts.md Probe 6)
2026-06-03T23:51:00Z,api_probe,vikunja-api-tasks-filter-due-now,Server-side filter due_date < now accepted; date math with now anchor works (HTTP 200),high,observed (probe-transcripts.md Probe 7)
2026-06-03T23:51:00Z,api_probe,vikunja-api-tasks-filter-project-id,Server-side filter project_id=13 accepted; numeric equality on project_id works (HTTP 200),high,observed (probe-transcripts.md Probe 8)
2026-06-03T23:51:00Z,api_probe,vikunja-api-tasks-filter-done-neq,"Server-side filter done!=false accepted (HTTP 200); single-clause boolean inequality works. G7 class was specific to AND-compound (done=false AND date comparison) — not triggered by simple single-clause filters.",high,observed (probe-transcripts.md Probe 9); G7 fix confirmed in issue #336
2026-06-03T23:51:00Z,api_probe,vikunja-api-tasks-bulk,"No batch-read endpoint: GET /tasks/bulk returns HTTP 400 (parsed as GET /tasks/{id} with id=bulk). Read access must use GET /tasks/all pagination or GET /tasks/{id} per-task.",high,observed (probe-transcripts.md Probe 10)
